Business Name,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Restitution,Business Building,Business Street,Building Address Unit,Business City,Business State,Business Zip,Complainant Zip 
NICE AND NAUGHTY BOUTIQUE,Mailorder Misc - 319,Non-Delivery of Goods - N01,09/25/2015,10/01/2015,No Business Response - NVR,No,0.00,PO BOX,701096,,EAST ELMHURST,NY,11370,12508
DELTA SERVICES INC.,Employment Agency - 034,Non-Delivery of Service - N02,12/13/2014,02/12/2015,Cash Amount - AMT,Yes,113.00,160,PEARL ST,201,NEW YORK,NY,10005,10458
,Restaurant - 818,,02/10/2016,02/26/2016,Cash Amount - AMT,Yes,30.00,,,,,,,11237
TRANSUNION,Debt Collection Agency - 122,Billing Dispute - B02,06/30/2015,07/14/2015,Bill Reduced - BLR,Yes,237.00,P O,,,CHESTER,PA,19016,11206
K.W. CONSTRUCTION & RENOVATION INC,Home Improvement Contractor - 100,Non-Delivery of Service - N02,09/29/2015,10/08/2015,Goods Repaired - GRS,Yes,550.00,3363,OLINVILLE AVE,,BRONX,NY,10467,10473
123 AUTO BODY & TOWING INC,Tow Truck Company - 124,Misrepresentation - M01,02/29/2016,04/19/2016,Consumer Took Action - CTA,No,0.00,1820,215TH ST,,BAYSIDE,NY,11360,07047
ROYAL PRESTIGE/HY CITE CORPORATION,Mailorder Misc - 319,Exchange Goods/Contract Cancelled - E01,12/15/2015,01/12/2016,Goods Exchanged - GEX,Yes,1200.00,333,HOLTZMAN RD,,MADISON,WI,53713,11232
,Garage - 049,Damaged Goods - D01,02/22/2016,03/29/2016,Referred to Hearing - RTH,No,0.00,,,,,,,10027
BEST DEAL AUTO MALL CORP.,Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,03/15/2016,04/05/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,3058,BOSTON RD,,BRONX,NY,10469,19124
ELMODA FURNITURE,Furniture Sales - 242,Damaged Goods - D01,01/27/2016,03/04/2016,Advised to Sue - ATS,No,0.00,74,W 125TH ST,,NEW YORK,NY,10027,10029
"NCB MANAGEMENT SERVICES, INC.",Debt Collection Agency - 122,Billing Dispute - B02,08/11/2015,09/03/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,70,MANSELL CT,250,ROSWELL,GA,30076,11415
PAN AMERICAN TRAVEL AGENCY,Travel Agency - 440,Exchange Goods/Contract Cancelled - E01,06/16/2015,06/29/2015,Cash Amount - AMT,Yes,1427.00,12209,LIBERTY AVE,,SOUTH RICHMOND HILL,NY,11419,11419
"JOHN WHIGHAM, INC.",Home Improvement Contractor - 100,Quality of Work - Q01,12/11/2014,01/30/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,95,SEARING AVE,,MINEOLA,NY,11501,11379
CUSTOM TOWING INC.,Tow Truck Company - 124,Surcharge/Overcharge - S02,03/17/2016,03/30/2016,Cash Amount - AMT,Yes,108.00,49,ELIZABETH ST,,STATEN ISLAND,NY,10310,11228
PRESTIGE MOTOR SALES INC,Secondhand Dealer Auto - 005,Refund Policy - R01,10/28/2015,12/10/2015,Referred to Hearing - RTH,No,0.00,122,18TH ST,,BROOKLYN,NY,11215,07114
PATRICIA EMPLOYMENT AGENCY CORP.,Employment Agency - 034,Non-Delivery of Service - N02,11/20/2014,01/02/2015,Cash Amount - AMT,Yes,120.00,,,,,,,11372
"ALLIANCE IMPALA PARKING, LLC",Garage - 049,,12/02/2014,02/09/2015,Goods Repaired - GRS,Yes,104.00,331,W 57TH ST,STE 456,NEW YORK,NY,10019,10021
BLUE SKY TECH TRADING INC.,Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,07/22/2015,08/05/2015,No Satisfactory Agreement - NSA,No,0.00,,,,,,,11355
PRINCESS NAIL & SPA,Misc Non-Food Retail - 817,Advertising/General - A01,12/24/2015,12/30/2015,Goods Received - GDR,Yes,10.00,450,NOME AVE,,STATEN ISLAND,NY,10314,10314
"NY PRESS PLAY, LLC",Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,01/22/2015,03/24/2015,Goods Received - GDR,Yes,48.00,22919,MERRICK BLVD,125,LAURELTON,NY,11413,13403
"LEE, PYO NAM",Dry Cleaners - 230,Wrong Goods - W01,11/17/2015,12/15/2015,Consumer Withdrew Complaint - CWC,NA,0.00,1812,KINGS HWY,,BROOKLYN,NY,11229,11229
"WORLD EDUCATION SERVICES, INC.",Misc Non-Food Retail - 817,Non-Delivery of Service - N02,05/11/2015,06/25/2015,Complaint Invalid - CIN,NA,0.00,PO BOX,5087,,NEW YORK,NY,10274,11225
CITIQUIET INC.,Home Improvement Contractor - 100,Quality of Work - Q01,04/24/2015,06/23/2015,Referred to Hearing - RTH,No,0.00,1111,43RD RD,,LONG IS CITY,NY,11101,10021
HERTZ BUILDERS CORP.,Home Improvement Contractor - 100,Quality of Work - Q01,01/07/2015,03/25/2015,Goods Repaired - GRS,Yes,0.00,3047,BRIGHTON 1ST ST,,BROOKLYN,NY,11235,11233
APPLIANCES CONNECTION.COM,Appliances - 244,Refund Policy - R01,10/13/2015,10/27/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,245.00,1870,BATH AVE,,BROOKLYN,NY,11214,87122
AMERITEK INDUSTRIES,Appliances - 244,Advertising/General - A01,06/19/2015,07/29/2015,Advised to Sue - ATS,No,0.00,19201,PARTHENIA ST,E,NORTHRIDGE,CA,91324,11373
HIGH RISE PARKING LLC,Garage - 049,Misrepresentation - M01,10/20/2015,11/05/2015,Cash Amount - AMT,Yes,1948.00,205,E 38TH ST,,NEW YORK,NY,10016,11741
BLUE JET CONTRACTING,Home Improvement Contractor - 100,Non-Delivery of Service - N02,01/21/2016,03/08/2016,Cash Amount - AMT,Yes,1000.00,2144,BRONX PARK E,,BRONX,NY,10462,10035
EMPIRE,Electronic Store - 001,,04/02/2015,04/15/2015,Cash Amount - AMT,Yes,2177.00,780,7TH AVE,,NEW YORK,NY,10019,78750
"ARS NATIONAL SERVICES, INC.",Debt Collection Agency - 122,Billing Dispute - B02,04/01/2015,04/30/2015,Bill Reduced - BLR,Yes,1537.00,70,MANSELL CT,STE 250,ROSWELL,GA,30076,11215
RESULT RESTORATION CORP.,Home Improvement Contractor - 100,Breach of Contract - B03,03/08/2016,03/25/2016,Referred to Outside - RTO,NA,0.00,435,AUSTIN PL,UNITA,BRONX,NY,10455,10001
LQ FURNITURE INC,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,04/27/2015,06/17/2015,Cash Amount - AMT,Yes,65.00,3660,MAIN ST,,FLUSHING,NY,11354,11357
"NORTH SHORE-LONG ISLAND JEWISH HEALTH CARE, INC",Debt Collection Agency - 122,Billing Dispute - B02,01/29/2016,02/12/2016,Bill Reduced - BLR,Yes,616.00,35,PINELAWN RD,STE 100W,MELVILLE,NY,11747,11372
HERTZ RENT A CAR,Auto Rental - 213,Breach of Contract - B03,08/06/2015,08/10/2015,Complaint Invalid - CIN,NA,0.00,225,BRAE BLVD,,PARK RIDGE,NJ,07656,
"LUXURY CARS OF BAYSIDE, INC.",Other,Misrepresentation - M01,04/22/2015,04/27/2015,Complaint Invalid - CIN,NA,0.00,266,E SHORE RD,,GREAT NECK,NY,11023,11432
METRO SPORTS,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,06/30/2015,08/04/2015,No Consumer Response - NCR,NA,0.00,1571,FLATBUSH AVE,,BROOKLYN,NY,11210,11210
146 CORNER HAPPY CORP.,Dry Cleaners - 230,Damaged Goods - D01,09/23/2015,09/30/2015,Cash Amount - AMT,Yes,5.00,14475,NORTHERN BLVD,,FLUSHING,NY,11354,11354
"ZARA USA, INC.",Retail Store - 820,Surcharge/Overcharge - S02,07/23/2015,08/28/2015,No Consumer Response - NCR,NA,0.00,500,5TH AVE,400,NEW YORK,NY,10110,10023
"GEM FINANCIAL SERVICES, INC.",Pawnbroker - 080,Misrepresentation - M01,02/19/2016,03/11/2016,Bill Reduced - BLR,Yes,1600.00,608,8TH AVE,,NEW YORK,NY,10018,11373
GREATAMERICA FINANCIAL SERVICES CORP.,Debt Collection Agency - 122,Billing Dispute - B02,05/07/2015,05/13/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,625,1ST ST SE,800,CEDAR RAPIDS,IA,52401,11374
"JENNIFER CONVERTIBLES, INC.",Furniture Sales - 242,Damaged Goods - D01,04/27/2015,06/04/2015,No Satisfactory Agreement - NSA,No,0.00,417,CROSSWAYS PARK DR,,WOODBURY,NY,11797,11216
"LAND AIR COMMUNICATIONS, LTD",Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,08/04/2015,09/10/2015,Advised to Sue - ATS,No,0.00,9515,108TH ST,,SOUTH RICHMOND HILL,NY,11419,10471
"I. C. SYSTEM, INC.",Debt Collection Agency - 122,Billing Dispute - B02,03/29/2016,04/05/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,444,HIGHWAY 96 E,,SAINT PAUL,MN,55127,11369
,Home Improvement Contractor - 100,Non-Delivery of Service - N02,02/29/2016,04/15/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,,,,,,,11226
SUNSURFS SOLAR USA INC.,Home Improvement Contractor - 100,Breach of Contract - B03,02/01/2016,03/14/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,128,SICKLES AVE,,NEW ROCHELLE,NY,10801,11423
NEW BELL NATIONS LTD.,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,01/13/2015,02/13/2015,Advised to Sue - ATS,No,0.00,,,,,,,11235
CITY FURNITURE DECOR,Furniture Sales - 242,Damaged Goods - D01,02/26/2015,04/09/2015,No Satisfactory Agreement - NSA,No,0.00,40,W 116TH ST,,NEW YORK,NY,10026,10029
FURNITURE CITY,Furniture Sales - 242,Non-Delivery of Goods - N01,11/04/2015,11/16/2015,Goods Received - GDR,Yes,0.00,9229,165TH ST,,JAMAICA,NY,11433,11216
K- STONE CONSTRUCTION INC.,Home Improvement Contractor - 100,Quality of Work - Q01,11/05/2015,12/29/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,866,CONEY ISLAND AVE,,BROOKLYN,NY,11218,11219
FINESSE HOME IMPROVEMENTS LLC,Home Improvement Contractor - 100,Damaged Goods - D01,09/15/2015,09/22/2015,Consumer Took Action - CTA,No,0.00,55,OGORMAN AVE,,STATEN ISLAND,NY,10306,10306
CITISAFE PARKING CORP.,Garage - 049,Billing Dispute - B02,01/16/2015,04/09/2015,No Satisfactory Agreement - NSA,No,0.00,234,W 56TH ST,,NEW YORK,NY,10019,20783
"PORTFOLIO RECOVERY ASSOCIATES, L.L.C.",Debt Collection Agency - 122,Billing Dispute - B02,11/12/2015,11/19/2015,Bill Reduced - BLR,Yes,3075.00,140,CORPORATE BLVD,,NORFOLK,VA,23502,10002
"SPECIAL NEEDS X-PRESS, INC.",Mailorder Misc - 319,Non-Delivery of Goods - N01,07/10/2015,08/27/2015,No Business Response - NVR,No,0.00,3128,VILLA AVE,,BRONX,NY,10468,11232
"AN AN BEST SERVICE, INC",Dry Cleaners - 230,Non-Delivery of Service - N02,03/06/2015,04/27/2015,No Consumer Response - NCR,NA,0.00,1301,E 13TH ST,,BROOKLYN,NY,11230,11230
CHAMPION PARKING 82 LLC,Garage - 049,Surcharge/Overcharge - S02,08/20/2015,09/01/2015,Cash Amount - AMT,Yes,150.00,60,E END AVE,,NEW YORK,NY,10028,10028
"P&B CAPITAL GROUP, LLC",Debt Collection Agency - 122,Billing Dispute - B02,11/09/2015,11/25/2015,Bill Reduced - BLR,Yes,1794.00,369,WASHINGTON ST,STE 100,BUFFALO,NY,14203,10472
E-ONE CORPORATION,Home Improvement Contractor - 100,Breach of Contract - B03,01/29/2015,04/16/2015,Advised to Sue - ATS,No,0.00,154,GIFFORDS LN,,STATEN ISLAND,NY,10308,11214
ADVANTAGE RENT A CAR,Auto Rental - 213,Other - Z01,02/02/2015,04/13/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,2261,94TH ST,,EAST ELMHURST,NY,11369,10021
FAMOUS BRANDS,Wearing Apparel - 450,Exchange Goods/Contract Cancelled - E01,01/02/2015,03/06/2015,Cash Amount - AMT,Yes,26.00,7814,ROOSEVELT AVE,,JACKSON HEIGHTS,NY,11372,11372
,Appliances - 244,Advertising/General - A01,12/23/2014,02/12/2015,Cash Amount - AMT,Yes,78.00,,,,,,,11204
TD WIRELESS,Electronic & Home Appliance Service Dealer - 115,,06/10/2015,06/23/2015,Out of Business - OOB,NA,0.00,1725,KINGS HWY,,BROOKLYN,NY,11229,
DIAMONDS GROUP LLC,Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,02/29/2016,04/06/2016,Advised to Sue - ATS,No,0.00,1630,BATH AVE,,BROOKLYN,NY,11214,
ASTORIA NY HOLDINGS LLC,Garage - 049,Lost Property - L02,03/07/2016,04/01/2016,Advised to Sue - ATS,No,0.00,15130,135TH AVE,,JAMAICA,NY,11434,07050
DUBAI FURNITURE,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,02/04/2016,03/10/2016,Store Credit - SCR,Yes,1600.00,8928,165TH ST,,JAMAICA,NY,11432,11691
COMMENITY - AVENUE,Debt Collection Agency - 122,Billing Dispute - B02,02/25/2016,04/05/2016,Bill Reduced - BLR,Yes,126.00,P O,,,SAN ANTONIO,TX,78265,10030
AK US GROUP CORP.,Restaurant - 818,Advertising/General - A01,02/11/2016,03/04/2016,Advised to Sue - ATS,No,0.00,95,CHRYSTIE ST,,NEW YORK,NY,10002,10002
"MYSTIC INDUSTRIES, INC.",Home Improvement Contractor - 100,Breach of Contract - B03,10/23/2015,12/11/2015,Consumer Took Action - CTA,No,0.00,1815,215TH ST,17J,BAYSIDE,NY,11360,11203
DYNAMIC RECOVERY SOLUTIONS LLC,Debt Collection Agency - 122,Billing Dispute - B02,12/02/2015,01/12/2016,Bill Reduced - BLR,Yes,3234.00,PO BOX,25759,,GREENVILLE,SC,29616,10024
FURNITURE CITY,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,04/17/2015,06/12/2015,Cash Amount - AMT,Yes,225.00,9229,165TH ST,,JAMAICA,NY,11433,11433
CHERAL JEWELRY CORP.,Jewelry Store-Retail - 823,Unauthorized Repair - U01,01/13/2015,02/20/2015,Advised to Sue - ATS,No,0.00,5611,MARATHON PKWY,,LITTLE NECK,NY,11362,11362
DUBAI FURNITURE,Furniture Sales - 242,Misrepresentation - M01,01/04/2016,01/12/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,8928,165TH ST,,JAMAICA,NY,11432,11435
NEW YORK CARRIER TRADING INC.,Home Improvement Contractor - 100,,02/19/2015,03/19/2015,Complaint Invalid - CIN,NA,0.00,1572,ATLANTIC AVE,,BROOKLYN,NY,11213,11362
"QUEENS AUTO MALL, INC.",Secondhand Dealer Auto - 005,Damaged Goods - D01,06/16/2015,07/29/2015,No Satisfactory Preempted - NSP,NA,0.00,13401,ATLANTIC AVE,,RICHMOND HILL,NY,11418,10002
,Employment Agency - 034,Non-Delivery of Service - N02,02/10/2016,02/18/2016,Cash Amount - AMT,Yes,100.00,,,,,,,11377
2833 THIRD AVE INC.,Electronic Store - 001,Misrepresentation - M01,09/03/2015,09/18/2015,No Consumer Response - NCR,NA,0.00,304,E 149TH ST,,BRONX,NY,10451,10457
"FIRSTSOURCE ADVANTAGE, LLC",Debt Collection Agency - 122,Billing Dispute - B02,01/08/2016,02/05/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,PO BOX,867,,MONSEY,NY,10952,11372
"BOB'S DISCOUNT FURNITURE, LLC",Furniture Sales - 242,Billing Dispute - B02,12/01/2015,12/21/2015,Cash Amount - AMT,Yes,120.00,428,TOLLAND TPKE,,MANCHESTER,CT,06042,10452
QUIK PARK BROADWAY GARAGE LLC,Garage - 049,Damaged Goods - D01,02/16/2016,02/25/2016,Cash Amount - AMT,Yes,679.00,247,W 37TH ST,FRNT 6,NEW YORK,NY,10018,
,Travel Agency - 440,Refund Policy - R01,10/27/2015,11/02/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,,,,,,,10010
FLATBUSH XPRESS FURNITURE CORP.,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,12/28/2015,01/27/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,1171,FLATBUSH AVE,,BROOKLYN,NY,11226,11225
RL MERCER STREET LLC,Garage - 049,Damaged Goods - D01,08/25/2015,10/14/2015,No Consumer Response - NCR,NA,0.00,247,W 37TH ST,FL 6,NEW YORK,NY,10018,33140
BENJAMIN OPTICAL,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,12/07/2015,12/18/2015,Cash Amount - AMT,Yes,449.00,248,W 116TH ST,,NEW YORK,NY,10026,10030
"STAR NISSAN, INC.",Secondhand Dealer Auto - 005,Misrepresentation - M01,10/26/2015,12/04/2015,Cash Amount - AMT,Yes,65.00,20614,NORTHERN BLVD,,BAYSIDE,NY,11361,11510
SLEEPY'S MATTRESS,Furniture Sales - 242,Non-Delivery of Goods - N01,08/25/2015,09/03/2015,Consumer Took Action - CTA,No,0.00,,,,,,,10022
"ENHANCED RECOVERY COMPANY, LLC",Debt Collection Agency - 122,Breach of Contract - B03,02/11/2016,03/16/2016,Bill Reduced - BLR,Yes,85.00,8014,BAYBERRY RD,,JACKSONVILLE,FL,32256,11369
"CHUVA, CLAUDIA PATRICIA",Home Improvement Contractor - 100,Unlicensed,05/18/2015,06/18/2015,Referred to Hearing - RTH,No,0.00,8777,96TH ST,,WOODHAVEN,NY,11421,11377
"BARNES&NOBLE,INC.",Retail Store - 820,,06/04/2015,07/01/2015,Goods Exchanged - GEX,Yes,280.00,122,5TH AVE,,NEW YORK,NY,10011,11106
NY ELITE ENTERTAINMENT,Photography Services - 415,Non-Delivery of Goods - N01,02/25/2015,04/13/2015,Advised to Sue - ATS,No,0.00,151,DENTON AVE,,NEW HYDE PARK,NY,11040,07073
"SPACIOUS LIVING GROUP, LLC",Home Improvement Contractor - 100,Breach of Contract - B03,03/17/2015,04/28/2015,Complaint Invalid - CIN,NA,0.00,270,W 39TH ST,10NW,NEW YORK,NY,10018,10035
DISCOUNT KING FURNITURE WHOLESALE,Furniture Sales - 242,Non-Delivery of Goods - N01,01/28/2016,02/11/2016,Goods Received - GDR,Yes,953.00,2510,VALENTINE AVE,,BRONX,NY,10458,10453
MIDLAND CREDIT MANAGEMENT,Debt Collection Agency - 122,Billing Dispute - B02,11/18/2015,12/04/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,8875,AERO DR,200,SAN DIEGO,CA,92123,11208
"BEST BUY STORES, L.P.",Electronic Store - 001,Defective Goods - D02,03/23/2015,04/03/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,108.00,2200,CABOT DR,STE 300,LISLE,IL,60532,11104
MJM CONSTRUCTION COMPANY & APPLIANCE INSTALLATION,Home Improvement Contractor - 100,Exchange Goods/Contract Cancelled - E01,06/15/2015,08/07/2015,No Business Response - NVR,No,0.00,8870,BAY 16TH ST,,BROOKLYN,NY,11214,11204
MOLINO ROJO,Restaurant - 818,Surcharge/Overcharge - S02,07/08/2015,08/04/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,101,E 161ST ST,,BRONX,NY,10451,10032
,Tow Truck Company - 124,Misrepresentation - M01,06/10/2015,07/01/2015,Cash Amount - AMT,Yes,217.00,,,,,,,11234
ELEGANT FURNITURE,Furniture Sales - 242,Non-Delivery of Goods - N01,04/17/2015,05/22/2015,Cash Amount - AMT,Yes,1080.00,3488,JEROME AVE,,BRONX,NY,10467,10453
IKEA,Furniture Sales - 242,Non-Delivery of Goods - N01,02/24/2016,03/14/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,1,BEARD ST,,BROOKLYN,NY,11231,11235
SOHA ATELIER CORP,Home Improvement Contractor - 100,Breach of Contract - B03,09/29/2015,11/19/2015,Advised to Sue - ATS,No,0.00,2728,THOMSON AVE,235,LONG ISLAND CITY,NY,11101,11377
BATTAGLIA AND SONS CONTRACTING INC,Home Improvement Contractor - 100,,03/14/2016,04/07/2016,Cash Amount - AMT,Yes,4854.00,14935,80TH ST,,HOWARD BEACH,NY,11414,11379
DESIGNER OPTICAL,Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,12/15/2015,01/27/2016,Advised to Sue - ATS,No,0.00,3185,STEINWAY ST,,ASTORIA,NY,11103,11106
SP PLUS CORPORATION,Parking Lot - 050,,06/11/2015,06/26/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,12.00,360,W 31ST ST,1100,NEW YORK,NY,10001,
THE NEW YORK TIMES COMPANY,Mailorder Misc - 319,Billing Dispute - B02,11/24/2015,12/10/2015,Credit Card Refund and/or Contract Cancelled - CRC,Yes,45.00,620,8TH AVE,,NEW YORK,NY,10018,10009
LUXOR MOTOR CARS INC,Secondhand Dealer Auto - 005,Breach of Contract - B03,12/11/2014,01/21/2015,Advised to Sue - ATS,No,0.00,4319,VAN DAM ST,,LONG ISLAND CITY,NY,11101,11421
"TONY'S STORM ROOFING CO., INC.",Home Improvement Contractor - 100,Quality of Work - Q01,02/09/2015,03/26/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,65,Titus Ave,Fl 2,Staten Island,NY,10306,11207
LILLY & HARMAN CONSTRUCTION CORP.,Home Improvement Contractor - 100,,06/30/2015,07/22/2015,Advised to Sue - ATS,No,0.00,11446,127TH ST,FL 1,S OZONE PARK,NY,11420,11379
BJ NICOLS FURNITURE EMPIRE CORP.,Furniture Sales - 242,Misrepresentation - M01,02/25/2016,03/03/2016,Advised to Sue - ATS,No,0.00,5936,MYRTLE AVE,,RIDGEWOOD,NY,11385,10452
LE PETIT PUPPY,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,03/06/2015,03/18/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,18,CHRISTOPHER ST,,NEW YORK,NY,10014,10034
,Garage - 049,Surcharge/Overcharge - S02,12/29/2015,02/23/2016,No Consumer Response - NCR,NA,0.00,,,,,,,15642
"MIDLAND CREDIT MANAGEMENT, INC.",Debt Collection Agency - 122,Billing Dispute - B02,06/17/2015,07/06/2015,Bill Reduced - BLR,Yes,883.00,3111,CAMINO DEL RIO N,1300,SAN DIEGO,CA,92108,11432
"PORTFOLIO RECOVERY ASSOCIATES, L.L.C.",Debt Collection Agency - 122,Billing Dispute - B02,08/04/2015,08/13/2015,Bill Reduced - BLR,Yes,391.00,140,CORPORATE BLVD,,NORFOLK,VA,23502,11553
"D&A GUARANTEED AUTO SALES, INC.",Secondhand Dealer Auto - 005,Defective Goods - D02,08/12/2015,08/31/2015,Goods Repaired - GRS,Yes,2800.00,2417,LINDEN BLVD,,BROOKLYN,NY,11208,11233
"DEBT RECOVERY SOLUTIONS, LLC",Debt Collection Agency - 122,Billing Dispute - B02,11/14/2014,01/09/2015,Bill Reduced - BLR,Yes,233.00,,,,,,,11210
PLANET FITNESS CENTER,Health Spa - 839,Refund Policy - R01,07/06/2015,07/10/2015,Cash Amount - AMT,Yes,41.00,26,FOX RUN RD,,NEWINGTON,NH,03801,10463
A R PAINTERS & HOME IMPROVEMENTS INC.,Home Improvement Contractor - 100,Quality of Work - Q01,02/18/2016,02/18/2016,Referred to Hearing - RTH,No,0.00,27,1ST ST,,STATEN ISLAND,NY,10306,10303
HOME BEYOND CENTER LLC,Home Improvement Contractor - 100,Exchange Goods/Contract Cancelled - E01,12/29/2015,01/29/2016,Referred to Hearing - RTH,No,0.00,770,E JERICHO TPKE,,HUNTINGTN STA,NY,11746,11694
"SEARS, ROEBUCK AND CO.",Retail Store - 820,Breach of Warranty - B04,12/15/2015,02/04/2016,Goods Exchanged - GEX,Yes,2300.00,3333,BEVERLY RD,,HOFFMAN ESTATES,IL,60179,10458
